ID,narrative_words,comparison_count
SOU07,3,9
BOD12,13,5
UPL02,10,8
SPC05,6,5
SOU14,1,0
UCA05,5,3
LYO05,9,5
CVL03,4,2
LRE11,5,6
SOU15,5,7
LDV05,11,1
UCA14,8,5
PES07,6,2
OCM13,6,2
UCA11,7,2
BOD01,2,1
ALS10,11,3
ALS11,5,11
BOD07,6,12
SPC04,8,1
HES08,3,6
LDV09,9,1
LYO11,3,5
LOR08,11,6
PES08,8,3
BRE14,6,3
UCA07,8,5
SPC08,3,0
LDV08,15,2
OCM14,11,2
ALS08,9,10
BRE16,5,1
GRE07,5,0
HES06,2,3
LYO01,4,5
BFC06,3,2
OCM08,6,5
ALS05,8,5
ALS09,6,7
BOD04,4,5
BRE04,9,3
BOD11,9,3
SPC09,4,1
LOR03,13,6
SEN02,4,2
GRE01,5,3
GRE13,5,2
BFC02,8,2
NOR04,8,2
GRE03,4,4
PES03,4,2
HES03,7,1
CFE09,6,5
HES05,3,6
SOU09,2,3
ALS03,3,3
LDV07,5,3
CFE05,7,2
OCM11,7,2
LRE02,4,4
HES02,4,4
LYO02,3,8
CFE02,8,5
POF05,5,1
BFC10,2,3
OCM18,8,7
SPC03,3,5
UCA02,5,2
CVL01,6,3
OCM07,8,0
LRE09,9,1
SOU01,5,3
UPS10,11,1
HES01,3,3
NOR05,11,8
SOU13,9,2
ALS04,12,3
NOR12,7,6
LYO10,10,3
PES04,3,1
SOU10,5,4
PES06,9,3
NOR10,4,1
SEN01,3,3
BFC09,14,1
LOR02,6,1
POF03,8,6
UPS04,5,9
OCM10,4,2
CVL02,10,5
