ID,negation_count
SOU07,4
BOD12,4
UPL02,1
SPC05,2
SOU14,2
UCA05,1
LYO05,2
CVL03,0
LRE11,0
SOU15,0
LDV05,0
UCA14,1
PES07,0
OCM13,0
UCA11,2
BOD01,1
ALS10,2
ALS11,0
BOD07,8
SPC04,1
HES08,1
LDV09,2
LYO11,1
LOR08,5
PES08,2
BRE14,0
UCA07,1
SPC08,3
LDV08,0
OCM14,5
ALS08,1
BRE16,1
GRE07,0
HES06,4
LYO01,0
BFC06,0
OCM08,1
ALS05,0
ALS09,1
BOD04,2
BRE04,5
BOD11,0
SPC09,2
LOR03,3
SEN02,1
GRE01,1
GRE13,0
BFC02,0
NOR04,1
GRE03,1
PES03,2
HES03,1
CFE09,2
HES05,3
SOU09,0
ALS03,3
LDV07,1
CFE05,2
OCM11,2
LRE02,2
HES02,1
LYO02,2
CFE02,1
POF05,0
BFC10,0
OCM18,1
SPC03,1
UCA02,0
CVL01,0
OCM07,1
LRE09,2
SOU01,1
UPS10,0
HES01,1
NOR05,4
SOU13,3
ALS04,3
NOR12,2
LYO10,6
PES04,3
SOU10,1
PES06,0
NOR10,0
SEN01,1
BFC09,1
LOR02,0
POF03,1
UPS04,0
OCM10,0
CVL02,1
