category,perception
POF03,3.39
BRE04,1.34
BFC02,1.22
OCM08,1.37
CFE02,3.37
POF05,1.06
SPC09,4.29
BRE16,1.05
SPC08,2.88
BFC10,2.96
OCM18,1.73
CFE05,1.7
BFC06,1.81
BRE14,4.16
SOU09,0.51
HES05,3.86
ALS09,2.2
HES06,2.21
ALS08,2.56
PES08,2.6
HES03,4.62
LDV07,2.79
HES02,2.87
LRE09,2.64
LDV05,2.09
LOR08,2.13
HES01,2.01
LRE11,2.46
ALS03,0.53
UCA02,2.38
PES07,1.25
SOU14,1.26
LDV08,2.78
LDV09,3.04
SOU15,5.55
SOU01,2.41
PES06,1.72
PES04,2.99
LYO10,1.37
BOD01,1.81
LYO05,3.14
LYO11,5.05
UCA14,3.06
ALS05,2.26
ALS11,3.3
LYO01,5.78
LOR03,1.43
BOD11,2.84
BOD04,1.85
LOR02,5.63
SOU07,3.42
SOU13,1.91
UCA05,3.51
UCA11,1.73
ALS10,2.22
ALS04,1.48
LRE02,2.61
UCA07,1.79
LYO02,1.35
BOD12,3.63
BOD07,4.42
HES08,4.51
SOU10,2.63
PES03,1.61
CFE09,0.74
SEN02,1.93
GRE01,1.45
GRE03,2.44
SEN01,1.26
BFC09,1.46
SPC05,4.5
SPC04,2.29
OCM14,2.82
UPL02,1.37
NOR05,1.54
OCM10,2.49
CVL03,1.24
CVL02,1.39
OCM11,4.42
NOR04,2.79
NOR10,2.83
GRE13,2.77
GRE07,2.08
NOR12,2.14
OCM07,1.23
OCM13,1.92
SPC03,1.17
UPS10,5.06
UPS04,1.79
CVL01,2.93
